date_time,EMA_now,EMA_30min,EMA_60min,EMA_90min,EMA_120min,EMA_150min,EMA_180min,EMA_210min,EMA_240min,Iradiance,Temperature,Power,Power_30min,Power_60min,Power_90min,Power_120min,Power_150min,Power_180min,Power_210min,Power_240min
2017-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,26.45,0,0,0,0,0,0,0,0,0
2017-01-01 00:30:00,0,0,0,0,0,0,0,0,0,0,26.08181818,0,0,0,0,0,0,0,0,0
2017-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0,25.88181818,0,0,0,0,0,0,0,0,0
2017-01-01 01:30:00,0,0,0,0,0,0,0,0,0,0,25.69090909,0,0,0,0,0,0,0,0,0
2017-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0,25.57272727,0,0,0,0,0,0,0,0,0
2017-01-01 02:30:00,0,0,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0
2017-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,25.28181818,0,0,0,0,0,0,0,0,0.065454545
2017-01-01 03:30:00,0,0,0,0,0,0,0,0,0,0,25.09090909,0,0,0,0,0,0,0,0.065454545,0.261818182
2017-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0.065454545,0.261818182,0.621818182
2017-01-01 04:30:00,0,0,0,0,0,0,0,0,0,0,24.90909091,0,0,0,0,0,0.065454545,0.261818182,0.621818182,0.861818182
2017-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0,0,0.065454545,0.261818182,0.621818182,0.861818182,1.08
2017-01-01 05:30:00,0,0,0,0,0,0,0,0,0,0,24.72727273,0,0,0,0.065454545,0.261818182,0.621818182,0.861818182,1.08,2.083636364
2017-01-01 06:00:00,0,0,0,0,0,0,0,0,0,0,24.57272727,0,0,0.065454545,0.261818182,0.621818182,0.861818182,1.08,2.083636364,3.72
2017-01-01 06:30:00,0,0,0,0,0,0,0,0,0,0,24.53636364,0,0.065454545,0.261818182,0.621818182,0.861818182,1.08,2.083636364,3.72,4.669090909
2017-01-01 07:00:00,0,0,0,0,0,0,0,0,0,19.22727273,24.48181818,0.065454545,0.261818182,0.621818182,0.861818182,1.08,2.083636364,3.72,4.669090909,4.603636364
